Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
less than 0,30,critical account/ other credits existing,used car,6187,less than 291,less than 7 years,1,male : married/widowed,none,4,car or other,24,,rent,2,skilled employee,1,none,Y,1
less than 0,48,critical account/ other credits existing,used car,6143,less than 116,greater than 7 years,4,female : divorced/separated/married,none,4,unkown/no property,58,stores,for free,2,unskilled,1,none,Y,0
no checking account,11,critical account/ other credits existing,new car,1393,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,car or other,35,,own,2,self_employed/highly qualified employee,1,none,Y,1
no checking account,36,existing credits paid back till now,radio/television,2299,less than 582,greater than 7 years,4,male : single,none,4,car or other,39,,own,1,skilled employee,1,none,Y,1
less than 0,6,existing credits paid back till now,used car,1352,less than 582,unemployed,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,23,,rent,1,unemployed,1,yes,Y,1
no checking account,11,critical account/ other credits existing,new car,7228,less than 116,less than 4 years,1,male : single,none,4,building society saving agreement/life insurance,39,,own,2,unskilled,1,none,Y,1
no checking account,12,existing credits paid back till now,radio/television,2073,less than 291,less than 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,,own,1,skilled employee,1,none,Y,1
less than 116,24,delay in paying off in the past,furniture/equipment,2333,unkown/no savings account,less than 1 year,4,male : single,none,2,building society saving agreement/life insurance,29,none,own,1,unskilled,1,none,Y,1
less than 116,27,delay in paying off in the past,used car,5965,less than 116,greater than 7 years,1,male : single,none,2,car or other,30,,own,2,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,radio/television,1262,less than 116,less than 4 years,3,male : single,none,2,car or other,25,,own,1,skilled employee,1,none,Y,1
no checking account,18,existing credits paid back till now,used car,3378,unkown/no savings account,less than 4 years,2,male : single,none,1,building society saving agreement/life insurance,31,,own,1,skilled employee,1,yes,Y,1
less than 116,36,delay in paying off in the past,new car,2225,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,57,none,for free,2,skilled employee,1,yes,Y,0
no checking account,6,all credits at this bank paid back,new car,783,unkown/no savings account,less than 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled,2,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,6468,unkown/no savings account,unemployed,2,male : single,none,1,unkown/no property,52,,own,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,36,critical account/ other credits existing,radio/television,9566,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee,1,none,Y,1
greater than or equal to 116,18,existing credits paid back till now,new car,1961,less than 116,greater than 7 years,3,female : divorced/separated/married,none,2,car or other,23,,own,1,self_employed/highly qualified employee,1,none,Y,1
less than 0,36,critical account/ other credits existing,furniture/equipment,6229,less than 116,less than 1 year,4,female : divorced/separated/married,co-applicant,4,unkown/no property,23,,rent,2,unskilled,1,yes,Y,0
less than 116,9,existing credits paid back till now,business,1391,less than 116,less than 4 years,2,male : married/widowed,none,1,real estate,27,none,own,1,skilled employee,1,yes,Y,1
less than 116,15,critical account/ other credits existing,radio/television,1537,unkown/no savings account,greater than 7 years,4,male : single,guarantor,4,real estate,50,,own,2,skilled employee,1,yes,Y,1
less than 116,36,no credits taken/all credit paid back,business,1953,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,61,,for free,1,self_employed/highly qualified employee,1,yes,Y,0
less than 116,48,no credits taken/all credit paid back,business,14421,less than 116,less than 4 years,2,male : single,none,2,car or other,25,,own,1,skilled employee,1,yes,Y,0
no checking account,24,existing credits paid back till now,radio/television,3181,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,26,,own,1,skilled employee,1,yes,Y,1
no checking account,27,existing credits paid back till now,repairs,5190,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,48,,own,4,skilled employee,2,yes,Y,1
no checking account,12,existing credits paid back till now,radio/television,2171,less than 116,less than 1 year,2,female : divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,new car,1007,greater than 582,less than 4 years,4,male : married/widowed,none,1,real estate,22,,own,1,skilled employee,1,none,Y,1
no checking account,36,existing credits paid back till now,education,1819,less than 116,less than 4 years,4,male : single,none,4,unkown/no property,37,stores,for free,1,skilled employee,1,yes,Y,0
no checking account,36,existing credits paid back till now,radio/television,2394,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,4,car or other,25,,own,1,skilled employee,1,none,Y,1
no checking account,36,existing credits paid back till now,used car,8133,less than 116,less than 4 years,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,30,none,own,1,skilled employee,1,none,Y,1
no checking account,7,critical account/ other credits existing,radio/television,730,unkown/no savings account,greater than 7 years,4,male : single,none,2,building society saving agreement/life insurance,46,,rent,2,unskilled,1,yes,Y,1
less than 0,8,critical account/ other credits existing,others,1164,less than 116,greater than 7 years,3,male : single,none,4,unkown/no property,51,none,for free,2,self_employed/highly qualified employee,2,yes,Y,1
less than 116,42,critical account/ other credits existing,business,5954,less than 116,less than 7 years,2,female : divorced/separated/married,none,1,real estate,41,none,own,2,unskilled,1,none,Y,1
less than 0,36,existing credits paid back till now,education,1977,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,40,,own,1,self_employed/highly qualified employee,1,yes,Y,0
less than 0,12,critical account/ other credits existing,used car,1526,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,66,,for free,2,self_employed/highly qualified employee,1,none,Y,1
less than 0,42,existing credits paid back till now,radio/television,3965,less than 116,less than 1 year,4,male : single,none,3,car or other,34,,own,1,skilled employee,1,none,Y,0
less than 116,11,delay in paying off in the past,radio/television,4771,less than 116,less than 7 years,2,male : single,none,4,building society saving agreement/life insurance,51,,own,1,skilled employee,1,none,Y,1
no checking account,54,no credits taken/all credit paid back,used car,9436,unkown/no savings account,less than 4 years,2,male : single,none,2,building society saving agreement/life insurance,39,,own,1,unskilled,2,none,Y,1
less than 116,30,existing credits paid back till now,furniture/equipment,3832,less than 116,less than 1 year,2,male : married/widowed,none,1,building society saving agreement/life insurance,22,,own,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,radio/television,5943,unkown/no savings account,less than 1 year,1,female : divorced/separated/married,none,1,car or other,44,,own,2,skilled employee,1,yes,Y,0
no checking account,15,existing credits paid back till now,radio/television,1213,less than 582,greater than 7 years,4,male : single,none,3,building society saving agreement/life insurance,47,stores,own,1,skilled employee,1,yes,Y,1
no checking account,18,existing credits paid back till now,business,1568,less than 291,less than 4 years,3,female : divorced/separated/married,none,4,building society saving agreement/life insurance,24,,rent,1,unskilled,1,none,Y,1
less than 0,24,existing credits paid back till now,others,1755,less than 116,greater than 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,,own,1,unskilled,1,yes,Y,1
less than 0,10,existing credits paid back till now,radio/television,2315,less than 116,greater than 7 years,3,male : single,none,4,real estate,52,,own,1,unskilled,1,none,Y,1
no checking account,12,critical account/ other credits existing,business,1412,less than 116,less than 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 116,18,critical account/ other credits existing,furniture/equipment,1295,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,building society saving agreement/life insurance,27,,own,2,skilled employee,1,none,Y,1
less than 116,36,existing credits paid back till now,education,12612,less than 291,less than 4 years,1,male : single,none,4,unkown/no property,47,,for free,1,skilled employee,2,yes,Y,0
less than 0,18,existing credits paid back till now,new car,2249,less than 291,less than 7 years,4,male : single,none,3,car or other,30,,own,1,self_employed/highly qualified employee,2,yes,Y,1
less than 0,12,no credits taken/all credit paid back,repairs,1108,less than 116,less than 7 years,4,male : single,none,3,real estate,28,,own,2,skilled employee,1,none,Y,0
no checking account,12,critical account/ other credits existing,radio/television,618,less than 116,greater than 7 years,4,male : single,none,4,real estate,56,,own,1,skilled employee,1,none,Y,1
less than 0,12,critical account/ other credits existing,used car,1409,less than 116,greater than 7 years,4,male : single,none,3,real estate,54,,own,1,skilled employee,1,none,Y,1
no checking account,12,critical account/ other credits existing,radio/television,797,unkown/no savings account,greater than 7 years,4,female : divorced/separated/married,none,3,building society saving agreement/life insurance,33,none,own,1,unskilled,2,none,Y,0
greater than or equal to 116,24,critical account/ other credits existing,furniture/equipment,3617,unkown/no savings account,greater than 7 years,4,male : single,co-applicant,4,unkown/no property,20,,rent,2,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,new car,1318,greater than 582,greater than 7 years,4,male : single,none,4,real estate,54,,own,1,skilled employee,1,yes,Y,1
less than 116,54,no credits taken/all credit paid back,business,15945,less than 116,less than 1 year,3,male : single,none,4,unkown/no property,58,,rent,1,skilled employee,1,yes,Y,0
no checking account,12,critical account/ other credits existing,education,2012,unkown/no savings account,less than 7 years,4,female : divorced/separated/married,none,2,car or other,61,,own,1,skilled employee,1,none,Y,1
less than 116,18,existing credits paid back till now,business,2622,less than 291,less than 4 years,4,male : single,none,4,car or other,34,,own,1,skilled employee,1,none,Y,1
less than 116,36,critical account/ other credits existing,radio/television,2337,less than 116,greater than 7 years,4,male : single,none,4,real estate,36,,own,1,skilled employee,1,none,Y,1
less than 116,20,delay in paying off in the past,used car,7057,unkown/no savings account,less than 7 years,3,male : single,none,4,building society saving agreement/life insurance,36,none,rent,2,self_employed/highly qualified employee,2,yes,Y,1
no checking account,24,existing credits paid back till now,new car,1469,less than 291,greater than 7 years,4,male : married/widowed,none,4,real estate,41,,rent,1,unskilled,1,none,Y,1
less than 116,36,existing credits paid back till now,radio/television,2323,less than 116,less than 7 years,4,male : single,none,4,car or other,24,,rent,1,skilled employee,1,none,Y,1
no checking account,6,delay in paying off in the past,radio/television,932,less than 116,less than 4 years,3,female : divorced/separated/married,none,2,real estate,24,,own,1,skilled employee,1,none,Y,1
less than 116,9,critical account/ other credits existing,furniture/equipment,1919,less than 116,less than 7 years,4,male : single,none,3,car or other,35,,rent,1,skilled employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,used car,2445,unkown/no savings account,less than 1 year,2,male : married/widowed,none,4,car or other,26,,rent,1,skilled employee,1,yes,Y,1
less than 116,24,critical account/ other credits existing,others,11938,less than 116,less than 4 years,2,male : single,co-applicant,3,car or other,39,,own,2,self_employed/highly qualified employee,2,yes,Y,0
no checking account,18,all credits at this bank paid back,new car,6458,less than 116,greater than 7 years,2,male : single,none,4,unkown/no property,39,none,own,2,self_employed/highly qualified employee,2,yes,Y,0
less than 116,12,existing credits paid back till now,new car,6078,less than 116,less than 7 years,2,male : single,none,2,car or other,32,,own,1,skilled employee,1,none,Y,1
less than 0,24,existing credits paid back till now,furniture/equipment,7721,unkown/no savings account,less than 1 year,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,30,,own,1,skilled employee,1,yes,N,1
less than 116,14,existing credits paid back till now,business,1410,less than 582,greater than 7 years,1,male : married/widowed,none,2,real estate,35,,own,1,skilled employee,1,yes,Y,1
less than 116,6,delay in paying off in the past,business,1449,less than 291,greater than 7 years,1,male : divocred/separated,none,2,car or other,31,none,own,2,skilled employee,2,none,Y,1
greater than or equal to 116,15,existing credits paid back till now,education,392,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,23,,rent,1,skilled employee,1,yes,Y,1
less than 116,18,existing credits paid back till now,new car,6260,less than 116,less than 7 years,3,male : single,none,3,real estate,28,,rent,1,unskilled,1,none,Y,1
no checking account,36,critical account/ other credits existing,new car,7855,less than 116,less than 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee,1,yes,Y,0
less than 0,12,existing credits paid back till now,radio/television,1680,less than 582,greater than 7 years,3,male : married/widowed,none,1,real estate,35,,own,1,skilled employee,1,none,Y,1
no checking account,48,critical account/ other credits existing,radio/television,3578,unkown/no savings account,greater than 7 years,4,male : single,none,1,real estate,47,,own,1,skilled employee,1,yes,Y,1
less than 0,42,existing credits paid back till now,radio/television,7174,unkown/no savings account,less than 7 years,4,female : divorced/separated/married,none,3,car or other,30,,own,1,self_employed/highly qualified employee,1,yes,Y,0
less than 0,10,critical account/ other credits existing,furniture/equipment,2132,unkown/no savings account,less than 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,,rent,2,skilled employee,1,none,N,1
less than 0,33,critical account/ other credits existing,furniture/equipment,4281,less than 582,less than 4 years,1,female : divorced/separated/married,none,4,car or other,23,,own,2,skilled employee,1,none,Y,0
less than 116,12,critical account/ other credits existing,new car,2366,less than 582,less than 7 years,3,male : divocred/separated,none,3,car or other,36,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,21,existing credits paid back till now,radio/television,1835,less than 116,less than 4 years,3,female : divorced/separated/married,none,2,real estate,25,,own,2,skilled employee,1,yes,Y,0
no checking account,24,critical account/ other credits existing,used car,3868,less than 116,greater than 7 years,4,female : divorced/separated/married,none,2,car or other,41,,rent,2,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,furniture/equipment,1768,less than 116,less than 4 years,3,male : single,none,2,real estate,24,,rent,1,unskilled,1,none,Y,1
greater than or equal to 116,10,critical account/ other credits existing,new car,781,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,63,,for free,2,skilled employee,1,yes,Y,1
less than 116,18,existing credits paid back till now,furniture/equipment,1924,unkown/no savings account,less than 1 year,4,female : divorced/separated/married,none,3,real estate,27,,rent,1,skilled employee,1,none,Y,0
less than 0,12,critical account/ other credits existing,new car,2121,less than 116,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,30,,own,2,skilled employee,1,none,Y,1
less than 0,12,existing credits paid back till now,radio/television,701,less than 116,less than 4 years,4,male : married/widowed,none,2,real estate,40,,own,1,unskilled,1,none,Y,1
less than 116,12,existing credits paid back till now,repairs,639,less than 116,less than 4 years,4,male : single,none,2,car or other,30,,own,1,skilled employee,1,none,Y,0
less than 116,12,critical account/ other credits existing,used car,1860,less than 116,unemployed,4,male : single,none,2,car or other,34,,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 0,12,critical account/ other credits existing,new car,3499,less than 116,less than 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,,own,2,skilled employee,1,none,Y,0
less than 116,48,existing credits paid back till now,new car,8487,unkown/no savings account,less than 7 years,1,female : divorced/separated/married,none,2,car or other,24,,own,1,skilled employee,1,none,Y,1
less than 0,36,delay in paying off in the past,education,6887,less than 116,less than 4 years,4,male : single,none,3,building society saving agreement/life insurance,29,stores,own,1,skilled employee,1,yes,Y,0
no checking account,15,existing credits paid back till now,furniture/equipment,2708,less than 116,less than 1 year,2,male : single,none,3,building society saving agreement/life insurance,27,none,own,2,unskilled,1,none,Y,1
no checking account,18,existing credits paid back till now,furniture/equipment,1984,less than 116,less than 4 years,4,male : single,none,4,unkown/no property,47,none,for free,2,skilled employee,1,none,Y,1
no checking account,60,existing credits paid back till now,radio/television,10144,less than 291,less than 7 years,2,female : divorced/separated/married,none,4,real estate,21,,own,1,skilled employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,radio/television,1240,unkown/no savings account,greater than 7 years,4,female : divorced/separated/married,none,2,real estate,38,,own,2,skilled employee,1,yes,Y,1
no checking account,27,delay in paying off in the past,used car,8613,greater than 582,less than 4 years,2,male : single,none,2,car or other,27,,own,2,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,766,less than 582,less than 4 years,4,male : single,none,3,real estate,66,,own,1,unskilled,1,none,Y,0
less than 116,15,critical account/ other credits existing,radio/television,2728,unkown/no savings account,less than 7 years,4,male : single,guarantor,2,real estate,35,none,own,3,skilled employee,1,yes,Y,1
greater than or equal to 116,12,existing credits paid back till now,radio/television,1881,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,car or other,44,,rent,1,unskilled,1,yes,Y,1
greater than or equal to 116,6,existing credits paid back till now,new car,709,greater than 582,less than 1 year,2,male : married/widowed,none,2,real estate,27,,own,1,unemployed,1,none,N,1
less than 116,36,existing credits paid back till now,radio/television,4795,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,unkown/no property,30,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,27,existing credits paid back till now,radio/television,3416,less than 116,less than 4 years,3,male : single,none,2,car or other,27,,own,1,self_employed/highly qualified employee,1,none,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,2462,less than 116,less than 4 years,2,male : single,none,2,car or other,22,,own,1,skilled employee,1,none,Y,0
no checking account,21,critical account/ other credits existing,furniture/equipment,2288,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,23,,own,1,skilled employee,1,yes,Y,1
less than 116,48,all credits at this bank paid back,business,3566,less than 291,less than 7 years,4,male : single,none,2,car or other,30,,own,1,skilled employee,1,none,Y,1
less than 0,6,critical account/ other credits existing,new car,860,less than 116,greater than 7 years,1,female : divorced/separated/married,none,4,unkown/no property,39,,own,2,skilled employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,new car,682,less than 291,less than 7 years,4,female : divorced/separated/married,none,3,car or other,51,,own,2,skilled employee,1,yes,Y,1
less than 0,36,critical account/ other credits existing,furniture/equipment,5371,less than 116,less than 4 years,3,male : single,guarantor,2,building society saving agreement/life insurance,28,,own,2,skilled employee,1,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,1582,greater than 582,greater than 7 years,4,male : single,none,4,car or other,46,,own,2,skilled employee,1,none,Y,1
no checking account,6,existing credits paid back till now,radio/television,1346,less than 291,greater than 7 years,2,male : single,none,4,unkown/no property,42,none,for free,1,skilled employee,2,yes,Y,1
no checking account,10,existing credits paid back till now,radio/television,1924,less than 116,less than 4 years,1,male : single,none,4,building society saving agreement/life insurance,38,,own,1,skilled employee,1,yes,N,1
greater than or equal to 116,36,existing credits paid back till now,radio/television,5848,less than 116,less than 4 years,4,male : single,none,1,car or other,24,,own,1,skilled employee,1,none,Y,1
less than 116,24,critical account/ other credits existing,used car,7758,greater than 582,greater than 7 years,2,female : divorced/separated/married,none,4,unkown/no property,29,,rent,1,skilled employee,1,none,Y,1
less than 116,24,delay in paying off in the past,business,6967,less than 291,less than 7 years,4,male : single,none,4,car or other,36,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,1282,less than 116,less than 4 years,2,female : divorced/separated/married,none,4,car or other,20,,rent,1,skilled employee,1,none,Y,0
less than 0,9,critical account/ other credits existing,repairs,1288,less than 291,greater than 7 years,3,male : single,guarantor,4,real estate,48,,own,2,skilled employee,2,none,N,1
less than 0,12,all credits at this bank paid back,retraining,339,less than 116,greater than 7 years,4,male : married/widowed,none,1,car or other,45,none,own,1,unskilled,1,none,Y,1
less than 116,24,existing credits paid back till now,new car,3512,less than 291,less than 7 years,2,male : single,none,3,car or other,38,none,own,2,skilled employee,1,yes,Y,1
no checking account,6,critical account/ other credits existing,radio/television,1898,unkown/no savings account,less than 4 years,1,male : single,none,2,real estate,34,,own,2,unskilled,2,none,Y,1
no checking account,24,critical account/ other credits existing,radio/television,2872,less than 291,greater than 7 years,3,male : single,none,4,real estate,36,,own,1,skilled employee,2,yes,Y,1
no checking account,18,critical account/ other credits existing,new car,1055,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,building society saving agreement/life insurance,30,,own,2,skilled employee,1,none,Y,1
no checking account,15,existing credits paid back till now,domestic appliances,1262,less than 582,less than 7 years,4,male : single,none,3,building society saving agreement/life insurance,36,,own,2,skilled employee,1,yes,Y,1
less than 116,10,existing credits paid back till now,new car,7308,less than 116,unemployed,2,male : single,none,4,unkown/no property,70,none,for free,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,36,existing credits paid back till now,new car,909,less than 582,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,36,,own,1,skilled employee,1,none,Y,1
no checking account,6,existing credits paid back till now,furniture/equipment,2978,less than 582,less than 4 years,1,male : single,none,2,car or other,32,,own,1,skilled employee,1,yes,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,1131,less than 116,unemployed,4,female : divorced/separated/married,none,2,car or other,33,,own,1,skilled employee,1,none,Y,0
